,quarterbacks
479,"['2000', 'mac-devito-1']"
480,"['2000', 'mike-mcmahon-1']"
481,"['2000', 'chad-schwenk-1']"
482,"['2000', 'michael-jones-7']"
483,"['2000', 'drew-henson-1']"
484,"['2000', 'john-navarre-1']"
485,"['2000', 'mike-kaselitz-1']"
486,"['2000', 'zak-kustok-1']"
487,"['2000', 'matt-danielson-1']"
488,"['2000', 'drew-brees-1']"
489,"['2000', 'brandon-hance-1']"
490,"['2000', 'steve-bellisari-1']"
491,"['2000', 'scott-mcmullen-1']"
492,"['2000', 'craig-krenzel-1']"
493,"['2000', 'brooks-bollinger-1']"
494,"['2000', 'jim-sorgi-1']"
495,"['2000', 'travis-cole-1']"
496,"['2000', 'asad-abdul-khaliq-1']"
497,"['2000', 'benji-kamrath-1']"
498,"['2000', 'rashard-casey-1']"
499,"['2000', 'matt-senneca-1']"
500,"['2000', 'scott-mullen-1']"
501,"['2000', 'kyle-mccann-1']"
502,"['2000', 'jon-beutjer-1']"
503,"['2000', 'kurt-kittner-1']"
504,"['2000', 'dustin-ward-1']"
505,"['2000', 'jeff-smoker-1']"
506,"['2000', 'ryan-van-dyke-1']"
507,"['2000', 'antwaan-randle-el-1']"
508,"['2000', 'tommy-jones-1']"
509,"['2000', 'gibran-hamdan-1']"
510,"['2000', 'bart-hendricks-1']"
511,"['2000', 'ryan-dinwiddie-1']"
512,"['2000', 'bj-rhode-1']"
513,"['2000', 'jose-fuentes-1']"
514,"['2000', 'jeff-crosbie-1']"
515,"['2000', 'brian-benza-1']"
516,"['2000', 'john-welsh-1']"
517,"['2000', 'ed-dean-1']"
518,"['2000', 'kc-enzminger-1']"
519,"['2000', 'damien-ocampo-1']"
520,"['2000', 'scott-hall-1']"
521,"['2000', 'richard-bridges-1']"
522,"['2000', 'spencer-stack-1']"
523,"['2000', 'cleo-lemon-1']"
524,"['2000', 'andy-shatley-1']"
525,"['2000', 'tommy-miller-1']"
526,"['2000', 'dave-ragone-1']"
527,"['2000', 'mike-watkins-1']"
528,"['2000', 'gerry-ahrens-1']"
529,"['2000', 'david-garrard-1']"
530,"['2000', 'deontey-kenner-1']"
531,"['2000', 'adam-hoover-1']"
532,"['2000', 'jeff-kelly-1']"
533,"['2000', 'zac-white-1']"
534,"['2000', 'jeff-aaron-1']"
535,"['2000', 'daniel-dixon-1']"
536,"['2000', 'thomas-cox-1']"
537,"['2000', 'patrick-ramsey-1']"
538,"['2000', 'jp-losman-1']"
539,"['2000', 'brent-brothers-1']"
540,"['2000', 'derrick-joseph-1']"
541,"['2000', 'scott-scherer-1']"
542,"['2000', 'neil-suber-1']"
543,"['2000', 'jason-mckinley-1']"
544,"['2000', 'bubba-teague-1']"
545,"['2000', 'brian-thiebaud-1']"
546,"['2000', 'alvin-lee-1']"
547,"['2000', 'chad-jenkins-1']"
548,"['2000', 'joe-gerena-1']"
549,"['2000', 'curtis-zervic-1']"
550,"['2000', 'ryan-schneider-1']"
551,"['2000', 'vic-penn-1']"
552,"['2000', 'brian-miller-1']"
553,"['2000', 'wes-counts-1']"
554,"['2000', 'jason-johnson-4']"
555,"['2000', 'lance-phillips-1']"
556,"['2000', 'luke-mccown-1']"
557,"['2000', 'brian-stallworth-1']"
558,"['2000', 'maxie-causey-1']"
559,"['2000', 'lance-domec-1']"
560,"['2000', 'andy-chance-1']"
561,"['2000', 'andre-vige-1']"
562,"['2000', 'ryan-corcoran-1']"
563,"['2000', 'daniel-peterson-1']"
564,"['2000', 'brian-broadwater-1']"
565,"['2000', 'craig-candeto-1']"
566,"['2000', 'byron-leftwich-1']"
567,"['2000', 'chuck-spearman-1']"
568,"['2000', 'sean-smith-1']"
569,"['2000', 'dontrell-jackson-1']"
570,"['2000', 'fred-ray-1']"
571,"['2000', 'butchie-washington-1']"
572,"['2000', 'micah-faler-1']"
573,"['2000', 'mike-bath-1']"
574,"['2000', 'john-schacke-1']"
575,"['2000', 'ryan-hawk-1']"
576,"['2000', 'andy-sahm-1']"
